                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.85752,                0.74608,                 1.1847,                0.97327,                0.95652,                0.98485,                0.67212,                 1.1255,                0.91486,                 1.3712,              0.0006536,              0.0006536,              0.0006536
                     36,                0.91131,                0.73802,                 1.1571,                0.97405,                0.95652,                0.99017,                0.66993,                 1.0844,                0.89092,                  1.312,               0.000614,               0.000614,               0.000614
                     37,                0.86938,                 0.7417,                 1.1423,                 0.9782,                 0.9755,                0.99286,                0.66504,                 1.0552,                0.90795,                 1.2717,              0.0005744,              0.0005744,              0.0005744
                     38,                0.86323,                0.72699,                 1.1528,                0.97757,                0.95652,                0.99015,                0.66788,                 1.0517,                0.90343,                 1.2821,              0.0005348,              0.0005348,              0.0005348
                     39,                 0.8815,                 0.7303,                 1.1887,                0.97766,                0.95164,                0.99096,                0.66323,                 1.0944,                0.89338,                 1.3248,              0.0004952,              0.0004952,              0.0004952
                     40,                0.88067,                0.72098,                 1.1912,                      1,                0.93267,                0.99019,                0.66166,                 1.0818,                 0.8881,                 1.3065,              0.0004556,              0.0004556,              0.0004556
                     41,                0.76455,                 1.0211,                  1.153,                      1,                0.90658,                0.97741,                0.66944,                 1.0811,                0.89176,                 1.2985,               0.000416,               0.000416,               0.000416
                     42,                0.71035,                0.89131,                 1.0713,                0.93014,                0.91304,                0.95831,                 0.6402,                 1.0995,                0.96229,                 1.3098,              0.0003764,              0.0003764,              0.0003764
                     43,                0.74598,                 0.8288,                 1.0926,                0.93859,                0.86957,                0.94006,                0.63345,                 1.0903,                 1.0327,                  1.313,              0.0003368,              0.0003368,              0.0003368
                     44,                0.71563,                0.80675,                 1.1373,                0.86646,                0.84637,                0.90894,                 0.6193,                 1.0847,                 1.1216,                 1.3169,              0.0002972,              0.0002972,              0.0002972
                     45,                 0.6573,                0.75096,                 1.1221,                0.87796,                0.84783,                0.91074,                0.61242,                 1.0833,                 1.1214,                 1.3218,              0.0002576,              0.0002576,              0.0002576
                     46,                0.71102,                0.78393,                 1.0735,                0.95229,                0.86791,                0.94049,                0.65707,                 1.0623,                 1.0398,                 1.3153,               0.000218,               0.000218,               0.000218
                     47,                0.66904,                0.74293,                 1.1087,                0.99236,                0.91304,                0.95657,                0.67254,                 1.0666,                 0.9587,                 1.3293,              0.0001784,              0.0001784,              0.0001784
                     48,                0.66543,                0.73107,                  1.131,                0.99582,                0.95652,                0.96054,                0.67312,                 1.0628,                0.91386,                 1.3335,              0.0001388,              0.0001388,              0.0001388
                     49,                0.66613,                0.70101,                 1.0895,                0.99832,                0.95652,                0.96214,                0.68123,                 1.0639,                0.88663,                 1.3372,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                  0.639,                0.68259,                 1.0271,                0.99672,                0.95652,                0.96377,                0.68135,                 1.0615,                0.86771,                 1.3375,               5.96e-05,               5.96e-05,               5.96e-05
